unit,group,time,outcome,post,treated
control_2,control,19,69.90686225889587,1,0
control_2,control,20,62.599252367972454,1,0
control_2,control,21,70.54371521378648,1,0
control_2,control,22,70.13517197039646,1,0
control_2,control,23,70.42423076187247,1,0
control_3,control,0,50.01946010700249,0,0
control_3,control,1,51.97427213424091,0,0
control_3,control,2,55.017078189240365,0,0
control_3,control,3,51.82599277174995,0,0
control_3,control,4,52.046789111050785,0,0
control_3,control,5,53.46150533820799,0,0
control_3,control,6,57.09706676932113,0,0
control_3,control,7,56.72500786177626,0,0
control_3,control,8,55.80922834346272,0,0
control_3,control,9,58.69652672576342,0,0
control_3,control,10,58.6653900667727,0,0
control_3,control,11,61.20976805768232,0,0
control_3,control,12,58.66961499740174,1,0
control_3,control,13,60.21964000050082,1,0
control_3,control,14,60.89199109597195,1,0
control_3,control,15,59.55042061451194,1,0
control_3,control,16,63.87093417344524,1,0
control_3,control,17,64.60204727221577,1,0
control_3,control,18,64.89140674968084,1,0
control_3,control,19,65.21324867818552,1,0
control_3,control,20,63.6529245693749,1,0
control_3,control,21,66.44361851648492,1,0
control_3,control,22,67.400723237502,1,0
control_3,control,23,67.28284084065223,1,0
control_4,control,0,52.965943244091015,0,0
control_4,control,1,50.583132153015086,0,0
control_4,control,2,51.789482394478384,0,0
control_4,control,3,52.16589486718198,0,0
control_4,control,4,49.51764935379769,0,0
control_4,control,5,54.34256911917878,0,0
control_4,control,6,55.55646237564073,0,0
control_4,control,7,61.4028912664107,0,0
control_4,control,8,57.132090197559336,0,0
control_4,control,9,59.160311897470265,0,0
control_4,control,10,59.528198759074,0,0
control_4,control,11,58.30067130892688,0,0
control_4,control,12,63.96407809887744,1,0
control_4,control,13,64.2227036209024,1,0
control_4,control,14,65.3413065352964,1,0
control_4,control,15,62.980872817302284,1,0
control_4,control,16,68.64564143444542,1,0
control_4,control,17,64.0767557726701,1,0
control_4,control,18,69.09457717153666,1,0
control_4,control,19,73.34217932123754,1,0
control_4,control,20,68.02060050503765,1,0
control_4,control,21,69.90948278177494,1,0
control_4,control,22,72.2817860568372,1,0
control_4,control,23,72.11593710411098,1,0
control_5,control,0,40.122075417217125,0,0
control_5,control,1,44.200724003420305,0,0
control_5,control,2,42.42154697116293,0,0
control_5,control,3,48.36712054714623,0,0
control_5,control,4,44.707601449919274,0,0
control_5,control,5,46.636841299661,0,0
control_5,control,6,49.91485506429229,0,0
control_5,control,7,46.83294829416565,0,0
control_5,control,8,50.75645309372242,0,0
control_5,control,9,53.92267503055962,0,0
control_5,control,10,49.100279350352906,0,0
control_5,control,11,53.69136983402058,0,0
control_5,control,12,54.848724002933416,1,0
control_5,control,13,56.8994604554718,1,0
control_5,control,14,53.86876958764161,1,0
control_5,control,15,54.70861408070983,1,0
control_5,control,16,59.40026673559278,1,0
control_5,control,17,59.95720924830596,1,0
control_5,control,18,60.87108190001194,1,0
control_5,control,19,62.06984891579474,1,0
control_5,control,20,61.02375935112441,1,0
control_5,control,21,63.855172486084,1,0
control_5,control,22,64.98366633583996,1,0
control_5,control,23,63.97567485067046,1,0
control_6,control,0,56.946265561318484,0,0
control_6,control,1,61.68936306508262,0,0
control_6,control,2,59.4742757994515,0,0
control_6,control,3,64.04519163948223,0,0
control_6,control,4,65.8355968821033,0,0
control_6,control,5,62.92442437947626,0,0
control_6,control,6,67.53992456675951,0,0
control_6,control,7,67.48611745423503,0,0
control_6,control,8,69.3520592124422,0,0
control_6,control,9,72.5489081498523,0,0
control_6,control,10,69.31192924462982,0,0
control_6,control,11,69.34261644001177,0,0
control_6,control,12,70.11844320156689,1,0
control_6,control,13,71.31323478297824,1,0
control_6,control,14,73.83803522617208,1,0
control_6,control,15,75.72192588672476,1,0
control_6,control,16,76.64038682784268,1,0
control_6,control,17,78.78875501934587,1,0
control_6,control,18,78.20777559712081,1,0
control_6,control,19,82.13622325977082,1,0
control_6,control,20,79.74722473107144,1,0
control_6,control,21,86.76426002281778,1,0
control_6,control,22,83.62263967725973,1,0
control_6,control,23,81.70437316098833,1,0
control_7,control,0,44.198611939042735,0,0
control_7,control,1,47.12178573940293,0,0
control_7,control,2,47.688507241890164,0,0
control_7,control,3,47.64462140895364,0,0
control_7,control,4,47.1449390396549,0,0
control_7,control,5,46.85707926794429,0,0
control_7,control,6,50.04199105470631,0,0
control_7,control,7,53.696065789011605,0,0
control_7,control,8,53.45970293014939,0,0
control_7,control,9,51.58828512598932,0,0
control_7,control,10,55.474371776639984,0,0
control_7,control,11,56.94689192591961,0,0
control_7,control,12,55.456789535583994,1,0
control_7,control,13,58.58020186140163,1,0
control_7,control,14,59.43741632792689,1,0
control_7,control,15,58.08330553689797,1,0
control_7,control,16,62.1330680947801,1,0
control_7,control,17,63.58730966834432,1,0
control_7,control,18,65.68009034348272,1,0
control_7,control,19,66.6698392027263,1,0
control_7,control,20,62.85514360426663,1,0
control_7,control,21,64.78307950187488,1,0
control_7,control,22,68.73704735764676,1,0
control_7,control,23,69.78279596657818,1,0
control_8,control,0,53.717019452916574,0,0
control_8,control,1,56.2316428609569,0,0
control_8,control,2,57.25378825664759,0,0
control_8,control,3,58.03384038133825,0,0
control_8,control,4,57.48579253851144,0,0
control_8,control,5,61.01954261784413,0,0
control_8,control,6,59.34122689684792,0,0
control_8,control,7,61.798513261508525,0,0
control_8,control,8,62.686696528395814,0,0
control_8,control,9,65.20644505189213,0,0
control_8,control,10,71.05728705553197,0,0
control_8,control,11,64.07871268606694,0,0
control_8,control,12,70.57103660106492,1,0
control_8,control,13,67.35835762700208,1,0
control_8,control,14,71.02519878686797,1,0
control_8,control,15,75.53223686144705,1,0
control_8,control,16,74.86816885476873,1,0
control_8,control,17,73.96939240978466,1,0
control_8,control,18,76.0795476961888,1,0
control_8,control,19,80.25462376164356,1,0
control_8,control,20,78.8199681494054,1,0
control_8,control,21,82.09889174106911,1,0
control_8,control,22,83.14239139077826,1,0
control_8,control,23,83.13332016482447,1,0
control_9,control,0,56.669435273311414,0,0
control_9,control,1,62.15602097839729,0,0
control_9,control,2,61.52293132155346,0,0
control_9,control,3,65.61476282291449,0,0
control_9,control,4,63.38824657868844,0,0
control_9,control,5,65.80720707485185,0,0
control_9,control,6,68.11004641797835,0,0
control_9,control,7,69.89497415058948,0,0
control_9,control,8,66.82626285036949,0,0
control_9,control,9,69.62124509503094,0,0
control_9,control,10,70.40374884662272,0,0
control_9,control,11,71.11037290602903,0,0
control_9,control,12,77.01133175397044,1,0
control_9,control,13,75.35377859756196,1,0
control_9,control,14,73.08543916920176,1,0
control_9,control,15,78.5063228742132,1,0
control_9,control,16,81.97830327636072,1,0
control_9,control,17,80.86231330566955,1,0
control_9,control,18,76.82203475489102,1,0
control_9,control,19,79.95569844329835,1,0
control_9,control,20,84.52138078963591,1,0
control_9,control,21,81.63561146225689,1,0
control_9,control,22,85.00198115201871,1,0
control_9,control,23,86.72700230481674,1,0
control_10,control,0,38.88281296197144,0,0
control_10,control,1,44.31061982383483,0,0
control_10,control,2,46.8483062681109,0,0
control_10,control,3,45.85192367136135,0,0
control_10,control,4,52.606360107548134,0,0
control_10,control,5,47.475302208157416,0,0
control_10,control,6,50.44954345507853,0,0
control_10,control,7,52.585161047438504,0,0
control_10,control,8,56.20027393539237,0,0
control_10,control,9,51.440050519295085,0,0
control_10,control,10,57.6321497903577,0,0
control_10,control,11,56.320335872480776,0,0
control_10,control,12,55.330899912739525,1,0
control_10,control,13,59.21217162775578,1,0
control_10,control,14,59.680131534770005,1,0
control_10,control,15,59.07562585369929,1,0
control_10,control,16,61.40971124239074,1,0
control_10,control,17,61.493527343081006,1,0
control_10,control,18,63.48523669170084,1,0
control_10,control,19,65.57651081463425,1,0
control_10,control,20,68.4183305622767,1,0
control_10,control,21,63.76471339672611,1,0
control_10,control,22,71.50045860808615,1,0
control_10,control,23,64.32426372412243,1,0
control_11,control,0,49.80305826029215,0,0
control_11,control,1,49.05450720582935,0,0
control_11,control,2,50.942493465404446,0,0
control_11,control,3,51.43156781744979,0,0
control_11,control,4,52.29767189352749,0,0
control_11,control,5,56.234437322106416,0,0
control_11,control,6,56.30809582064292,0,0
control_11,control,7,55.26707737883998,0,0
control_11,control,8,59.510928040876244,0,0
control_11,control,9,59.38515905241142,0,0
control_11,control,10,61.45511596898458,0,0
control_11,control,11,62.14748113580234,0,0
control_11,control,12,60.28906515075943,1,0
control_11,control,13,61.885524812858094,1,0
control_11,control,14,65.559305824147,1,0
control_11,control,15,66.34429086541589,1,0
control_11,control,16,66.14057886726911,1,0
control_11,control,17,67.47586854246343,1,0
control_11,control,18,70.85537528807117,1,0
control_11,control,19,68.17573443947111,1,0
control_11,control,20,71.51190370013131,1,0
control_11,control,21,71.0721553535719,1,0
control_11,control,22,72.10000997263371,1,0
control_11,control,23,75.79175780371098,1,0
control_12,control,0,56.73803935924881,0,0
control_12,control,1,55.25044039180573,0,0
control_12,control,2,57.653689614730204,0,0
control_12,control,3,56.75060112255343,0,0
control_12,control,4,59.10081830431729,0,0
control_12,control,5,59.27355045420509,0,0
control_12,control,6,60.80917945652597,0,0
control_12,control,7,62.88685254101443,0,0
control_12,control,8,61.14144808727371,0,0
control_12,control,9,68.04401496871164,0,0
control_12,control,10,62.92855661794138,0,0
control_12,control,11,63.59356511896538,0,0
control_12,control,12,69.41951505514106,1,0
control_12,control,13,69.76796965966685,1,0
control_12,control,14,70.51423486944535,1,0
control_12,control,15,71.60403721746967,1,0
control_12,control,16,71.40420361684734,1,0
control_12,control,17,70.71553938316957,1,0
control_12,control,18,73.74300820612875,1,0
control_12,control,19,73.31842663031713,1,0
control_12,control,20,77.70434048377693,1,0
control_12,control,21,76.54133721753722,1,0
control_12,control,22,76.26580855055653,1,0
control_12,control,23,78.35538222443564,1,0
control_13,control,0,50.42021648024526,0,0
control_13,control,1,53.495659239081554,0,0
control_13,control,2,54.44184550303478,0,0
control_13,control,3,53.88165355479467,0,0
control_13,control,4,54.89709083901989,0,0
control_13,control,5,57.24689486969141,0,0
control_13,control,6,54.83025385670109,0,0
control_13,control,7,55.85512253566223,0,0
control_13,control,8,58.17678918663007,0,0
control_13,control,9,60.13041087043085,0,0
control_13,control,10,62.12274784977016,0,0
control_13,control,11,65.39527269719285,0,0
control_13,control,12,65.10350705441739,1,0
control_13,control,13,64.01193829280611,1,0
control_13,control,14,65.23741048164719,1,0
control_13,control,15,64.21401171289655,1,0
control_13,control,16,67.12567171490699,1,0
control_13,control,17,67.52900825377108,1,0
control_13,control,18,69.69539019700714,1,0
control_13,control,19,68.33911873394592,1,0
control_13,control,20,71.97590119425251,1,0
control_13,control,21,74.94631353649493,1,0
control_13,control,22,72.60694295829566,1,0
control_13,control,23,74.57151424412687,1,0
control_14,control,0,53.89890492217639,0,0
control_14,control,1,54.43578271293057,0,0
control_14,control,2,55.56582806127606,0,0
control_14,control,3,54.78433424927887,0,0
control_14,control,4,57.33925211831911,0,0
control_14,control,5,59.24610630510354,0,0
control_14,control,6,62.112274891014145,0,0
control_14,control,7,62.08840728040589,0,0
control_14,control,8,65.43610849607,0,0
control_14,control,9,60.55492640808221,0,0
control_14,control,10,64.79414076011108,0,0
control_14,control,11,64.37606145095785,0,0
control_14,control,12,69.3488612587279,1,0
control_14,control,13,64.31253677439368,1,0
control_14,control,14,65.20956761355383,1,0
control_14,control,15,66.65010395983877,1,0
control_14,control,16,64.56097575491862,1,0
control_14,control,17,68.71713511298812,1,0
control_14,control,18,69.21025778605366,1,0
control_14,control,19,71.98918863492489,1,0
control_14,control,20,73.33179096633822,1,0
control_14,control,21,77.36049864602708,1,0
control_14,control,22,76.46888259677881,1,0
control_14,control,23,74.37410556189333,1,0
control_15,control,0,42.867460229216924,0,0
control_15,control,1,50.22003609211757,0,0
control_15,control,2,49.96519071900209,0,0
control_15,control,3,47.71715109050075,0,0
control_15,control,4,46.27842525367906,0,0
control_15,control,5,53.46163097734229,0,0
control_15,control,6,51.57399845565688,0,0
control_15,control,7,55.32790268725968,0,0
control_15,control,8,50.71260666287468,0,0
control_15,control,9,53.751903851706516,0,0
control_15,control,10,56.010333214201076,0,0
control_15,control,11,57.14299891944485,0,0
control_15,control,12,57.19809870610752,1,0
control_15,control,13,60.39312143091166,1,0
control_15,control,14,58.06137262460213,1,0
control_15,control,15,60.96104643047538,1,0
control_15,control,16,62.53558858109241,1,0
control_15,control,17,64.37306690293677,1,0
control_15,control,18,65.8166109081477,1,0
control_15,control,19,63.19328888544483,1,0
control_15,control,20,63.423536644799974,1,0
control_15,control,21,70.09631054721889,1,0
control_15,control,22,69.2547768445317,1,0
control_15,control,23,68.14236766461006,1,0
control_16,control,0,60.114354245740266,0,0
control_16,control,1,58.902364303862115,0,0
control_16,control,2,63.90039065423516,0,0
control_16,control,3,64.30114395278687,0,0
control_16,control,4,61.3041014343716,0,0
control_16,control,5,64.75673909666776,0,0
control_16,control,6,65.11591655735862,0,0
control_16,control,7,67.57399523668231,0,0
control_16,control,8,63.9184526638867,0,0
control_16,control,9,68.23196996847307,0,0
control_16,control,10,69.98828348560465,0,0
control_16,control,11,65.36552300248853,0,0
control_16,control,12,67.52805241343249,1,0
control_16,control,13,66.82767254667313,1,0
control_16,control,14,71.37889069673349,1,0
control_16,control,15,74.36435634064382,1,0
control_16,control,16,76.94555339667325,1,0
control_16,control,17,75.10059631675003,1,0
control_16,control,18,79.22120531048235,1,0
control_16,control,19,74.21533876633927,1,0
control_16,control,20,74.58034426748802,1,0
control_16,control,21,78.88758121183437,1,0
control_16,control,22,80.77837497093552,1,0
control_16,control,23,80.956422040298,1,0
control_17,control,0,37.05385049879091,0,0
control_17,control,1,41.993222593509415,0,0
control_17,control,2,42.37816198409176,0,0
control_17,control,3,40.75629391529207,0,0
control_17,control,4,42.59940764932212,0,0
control_17,control,5,42.499802436266314,0,0
control_17,control,6,45.483959281546596,0,0
control_17,control,7,48.51069011314414,0,0
control_17,control,8,45.6200413755193,0,0
control_17,control,9,49.5906744952748,0,0
control_17,control,10,48.51315422354295,0,0
control_17,control,11,48.979011791811864,0,0
control_17,control,12,51.34178473247616,1,0
control_17,control,13,50.47644880359524,1,0
control_17,control,14,52.430722833788344,1,0
control_17,control,15,52.13335365535374,1,0
control_17,control,16,59.44964770241293,1,0
control_17,control,17,56.58181253657233,1,0
control_17,control,18,56.10292241269243,1,0
control_17,control,19,58.92142124619476,1,0
control_17,control,20,59.25989332139338,1,0
control_17,control,21,60.03369821775731,1,0
control_17,control,22,62.69505881295933,1,0
control_17,control,23,63.97282882901582,1,0
control_18,control,0,46.797390867644076,0,0
control_18,control,1,43.68607010841172,0,0
control_18,control,2,46.20194848942132,0,0
control_18,control,3,52.90849732464301,0,0
control_18,control,4,54.40710239269206,0,0
control_18,control,5,51.56151306251226,0,0
control_18,control,6,54.15511724367208,0,0
control_18,control,7,54.56692180258316,0,0
control_18,control,8,61.04460128634209,0,0
control_18,control,9,58.068407668236304,0,0
control_18,control,10,56.51584083834115,0,0
control_18,control,11,55.80301331603736,0,0
control_18,control,12,55.443619732658604,1,0
control_18,control,13,60.00585782084372,1,0
control_18,control,14,59.0286472344762,1,0
control_18,control,15,58.639259481785,1,0
control_18,control,16,61.13303930843082,1,0
control_18,control,17,61.20550724562261,1,0
control_18,control,18,67.68530469893207,1,0
control_18,control,19,67.01671911862138,1,0
control_18,control,20,66.17991249802476,1,0
control_18,control,21,70.09816423437358,1,0
control_18,control,22,68.2354307478243,1,0
control_18,control,23,67.30054390580807,1,0
control_19,control,0,55.54112807769537,0,0
control_19,control,1,58.28883403454953,0,0
control_19,control,2,57.9721658883157,0,0
control_19,control,3,58.01169393752501,0,0
control_19,control,4,63.68353949888543,0,0
control_19,control,5,66.70390868913088,0,0
control_19,control,6,61.1418312649208,0,0
control_19,control,7,66.11879589030869,0,0
control_19,control,8,64.74546328305236,0,0
control_19,control,9,66.12638865813508,0,0
control_19,control,10,66.9697425815552,0,0
control_19,control,11,67.48043989504177,0,0
control_19,control,12,70.35935569465953,1,0
control_19,control,13,69.65430321031626,1,0
control_19,control,14,72.91100809906648,1,0
control_19,control,15,73.32350923297699,1,0
control_19,control,16,73.99998036251091,1,0
control_19,control,17,73.71664013652901,1,0
control_19,control,18,75.432115803844,1,0
control_19,control,19,79.15033192100064,1,0
control_19,control,20,79.69527484896636,1,0
control_19,control,21,77.79222098848896,1,0
control_19,control,22,80.99988709331299,1,0
control_19,control,23,83.35788773356659,1,0
control_20,control,0,40.32772607650144,0,0
control_20,control,1,43.84850695081745,0,0
control_20,control,2,42.23512731978409,0,0
control_20,control,3,41.206217450778084,0,0
control_20,control,4,42.61523279557879,0,0
control_20,control,5,47.02082358390587,0,0
control_20,control,6,48.49843471326406,0,0
control_20,control,7,47.22469247885028,0,0
control_20,control,8,51.364846665851836,0,0
control_20,control,9,47.81895764299716,0,0
control_20,control,10,52.06417418947844,0,0
control_20,control,11,50.82863740648615,0,0
control_20,control,12,53.001333609644746,1,0
control_20,control,13,55.454139187119885,1,0
control_20,control,14,54.69285113315714,1,0
control_20,control,15,56.69890279450339,1,0
control_20,control,16,60.534935520629915,1,0
control_20,control,17,58.42290218239273,1,0
control_20,control,18,62.30240616480731,1,0
control_20,control,19,59.425944250599784,1,0
control_20,control,20,63.79930233498357,1,0
control_20,control,21,66.6771672397068,1,0
control_20,control,22,59.90507701737441,1,0
control_20,control,23,64.30891152592605,1,0
control_21,control,0,53.627652382645316,0,0
control_21,control,1,52.65708572386676,0,0
control_21,control,2,55.0179311336399,0,0
control_21,control,3,55.51309254930564,0,0
control_21,control,4,59.13970660480511,0,0
control_21,control,5,58.29267962948363,0,0
control_21,control,6,59.43873872842731,0,0
control_21,control,7,58.91947493342767,0,0
control_21,control,8,59.74771187892332,0,0
control_21,control,9,60.837503412824766,0,0
control_21,control,10,63.471219534616296,0,0
control_21,control,11,62.82004174961488,0,0
control_21,control,12,65.22125588644394,1,0
control_21,control,13,69.77220323133768,1,0
control_21,control,14,68.34334650230589,1,0
control_21,control,15,66.92874549250254,1,0
control_21,control,16,70.9629158625618,1,0
control_21,control,17,68.7240327335865,1,0
control_21,control,18,66.44362987066961,1,0
control_21,control,19,69.4834017805862,1,0
control_21,control,20,68.737686021765,1,0
control_21,control,21,72.7559383571298,1,0
control_21,control,22,74.47549754498723,1,0
control_21,control,23,78.77123087255438,1,0
control_22,control,0,53.29344803118779,0,0
control_22,control,1,48.190456197924156,0,0
control_22,control,2,54.06204587927617,0,0
control_22,control,3,56.110637097952086,0,0
control_22,control,4,52.58982416573759,0,0
control_22,control,5,58.81259469083024,0,0
control_22,control,6,58.180169366524325,0,0
control_22,control,7,57.650690670853,0,0
control_22,control,8,60.72492017798629,0,0
control_22,control,9,64.97883210850163,0,0
control_22,control,10,61.779268850128936,0,0
control_22,control,11,62.89006745973173,0,0
control_22,control,12,62.452994435169686,1,0
control_22,control,13,62.65011744243971,1,0
control_22,control,14,66.9885677615769,1,0
control_22,control,15,64.59381842378978,1,0
control_22,control,16,67.42720849716541,1,0
control_22,control,17,67.30685107631551,1,0
control_22,control,18,70.19821556845764,1,0
control_22,control,19,70.88567007465787,1,0
control_22,control,20,73.27151569971889,1,0
control_22,control,21,71.15449296061271,1,0
control_22,control,22,72.61286583485457,1,0
control_22,control,23,72.17317822099581,1,0
control_23,control,0,49.29251093291015,0,0
control_23,control,1,46.97193310056868,0,0
control_23,control,2,51.593205638439734,0,0
control_23,control,3,53.6029995651428,0,0
control_23,control,4,52.75632370328479,0,0
control_23,control,5,56.720775571258,0,0
control_23,control,6,52.457335597239215,0,0
control_23,control,7,52.55333463812801,0,0
control_23,control,8,52.52293359624677,0,0
control_23,control,9,60.11019276633818,0,0
control_23,control,10,59.46456550537242,0,0
control_23,control,11,59.08239490014787,0,0
control_23,control,12,60.79123154391291,1,0
control_23,control,13,59.018046245981,1,0
control_23,control,14,67.19825834911589,1,0
control_23,control,15,63.60292680313718,1,0
control_23,control,16,64.60100407770099,1,0
control_23,control,17,66.87147778559307,1,0
control_23,control,18,67.4196930505736,1,0
control_23,control,19,67.94317268496292,1,0
control_23,control,20,66.95218577481852,1,0
control_23,control,21,70.51380144928562,1,0
control_23,control,22,74.37264377726818,1,0
control_23,control,23,74.33716492593256,1,0
control_24,control,0,55.98672349267982,0,0
control_24,control,1,58.66323772535456,0,0
control_24,control,2,59.97513982248814,0,0
control_24,control,3,63.00095146720953,0,0
control_24,control,4,58.37651760319487,0,0
control_24,control,5,65.76942593390261,0,0
control_24,control,6,63.34318793018029,0,0
control_24,control,7,63.75432001980032,0,0
control_24,control,8,63.5327518415317,0,0
control_24,control,9,63.196125680677376,0,0
control_24,control,10,69.10105862468961,0,0
control_24,control,11,68.55023182349949,0,0
control_24,control,12,66.77255252199745,1,0
control_24,control,13,67.7111952097092,1,0
control_24,control,14,70.57866178761307,1,0
control_24,control,15,75.537152669129,1,0
control_24,control,16,72.62880534817988,1,0
control_24,control,17,71.09058057702775,1,0
control_24,control,18,74.55425878744896,1,0
control_24,control,19,75.4491762084824,1,0
control_24,control,20,71.54972849445147,1,0
control_24,control,21,77.78379047965586,1,0
control_24,control,22,78.37938958463103,1,0
control_24,control,23,81.1825498070321,1,0
control_25,control,0,58.70700309361706,0,0
control_25,control,1,58.14438516019816,0,0
control_25,control,2,66.616813087136,0,0
control_25,control,3,62.70118685162003,0,0
control_25,control,4,63.72326507037172,0,0
control_25,control,5,64.7598128152806,0,0
control_25,control,6,66.31688901399109,0,0
control_25,control,7,66.74465517156227,0,0
control_25,control,8,66.99870848460446,0,0
control_25,control,9,68.16497111883892,0,0
control_25,control,10,70.30583896384249,0,0
control_25,control,11,70.39715246496174,0,0
control_25,control,12,71.1709669448297,1,0
control_25,control,13,73.9221754685226,1,0
control_25,control,14,74.31201708125187,1,0
control_25,control,15,78.94261399621374,1,0
control_25,control,16,71.74534490521711,1,0
control_25,control,17,80.34295472880282,1,0
control_25,control,18,81.76476791290796,1,0
control_25,control,19,76.23847356605116,1,0
control_25,control,20,80.81253534566154,1,0
control_25,control,21,81.86768530478543,1,0
control_25,control,22,80.90820015029615,1,0
control_25,control,23,83.28024666750481,1,0
control_26,control,0,46.31847755896578,0,0
control_26,control,1,48.16545800700154,0,0
control_26,control,2,48.24091898944206,0,0
control_26,control,3,45.71469836326349,0,0
control_26,control,4,48.09898841748076,0,0
control_26,control,5,51.30200511683851,0,0
control_26,control,6,49.05422742094114,0,0
control_26,control,7,54.099706943412166,0,0
control_26,control,8,53.368286331093486,0,0
control_26,control,9,54.274522556652926,0,0
control_26,control,10,57.62131115250147,0,0
control_26,control,11,58.26314488340892,0,0
control_26,control,12,57.827912973141046,1,0
control_26,control,13,62.04373195585006,1,0
control_26,control,14,58.73817273826413,1,0
control_26,control,15,63.307397651694814,1,0
control_26,control,16,64.43695599808542,1,0
control_26,control,17,63.806887647863036,1,0
control_26,control,18,66.25347361531762,1,0
control_26,control,19,64.27420746240513,1,0
control_26,control,20,69.7997156979319,1,0
control_26,control,21,68.75708443097449,1,0
control_26,control,22,69.25666970716475,1,0
control_26,control,23,73.57536124421897,1,0
control_27,control,0,43.3650232002384,0,0
control_27,control,1,48.549455320341124,0,0
control_27,control,2,45.63573058302092,0,0
control_27,control,3,52.565331522345865,0,0
control_27,control,4,45.75103821297333,0,0
control_27,control,5,54.1669636356845,0,0
control_27,control,6,52.055239703873305,0,0
control_27,control,7,52.29893241609092,0,0
control_27,control,8,52.26167433657746,0,0
control_27,control,9,55.00893860926314,0,0
control_27,control,10,54.99455084607294,0,0
control_27,control,11,58.13557788531933,0,0
control_27,control,12,57.01658328897401,1,0
control_27,control,13,57.94788538493733,1,0
control_27,control,14,57.7792113079495,1,0
control_27,control,15,59.25169835529873,1,0
control_27,control,16,60.84034701088862,1,0
control_27,control,17,57.6635605581549,1,0
control_27,control,18,59.246680369620364,1,0
control_27,control,19,64.28873327224086,1,0
control_27,control,20,64.00308983081496,1,0
control_27,control,21,64.15254615221735,1,0
control_27,control,22,65.41653456141717,1,0
control_27,control,23,66.93398397637336,1,0
control_28,control,0,47.69289210864855,0,0
control_28,control,1,46.2666255706829,0,0
control_28,control,2,49.96204616480167,0,0
control_28,control,3,46.66254297235682,0,0
control_28,control,4,53.04819098294355,0,0
control_28,control,5,52.85724420057812,0,0
control_28,control,6,53.346278231839555,0,0
control_28,control,7,55.7217702585626,0,0
control_28,control,8,58.00950670705649,0,0
control_28,control,9,57.62946747562737,0,0
control_28,control,10,52.84114841038758,0,0
control_28,control,11,54.88591246703925,0,0
control_28,control,12,57.11759877257906,1,0
control_28,control,13,59.34158755585185,1,0
control_28,control,14,61.2468930238282,1,0
control_28,control,15,59.68225688404279,1,0
control_28,control,16,62.42944756676364,1,0
control_28,control,17,61.46731770056262,1,0
control_28,control,18,62.677217486745135,1,0
control_28,control,19,62.00910042649236,1,0
control_28,control,20,63.89812565542675,1,0
control_28,control,21,63.963392463875664,1,0
control_28,control,22,65.63718469661345,1,0
control_28,control,23,70.61838432324355,1,0
control_29,control,0,46.23964135760206,0,0
control_29,control,1,46.885916009713775,0,0
control_29,control,2,46.062766408445334,0,0
